File name(s)     Type                    Unit            Transcription
====================================================================================================
ackno.v00/v02    command confirmation    Vehicle          "Acknowledged"
ackno.v01/v03    command confirmation    Infantry         "Acknowledged"
affirm1.v00/v02  command confirmation    Vehicle          "Affirmative"
affirm1.v01/v03  command confirmation    Infantry         "Affirmative"
await1.v00/v02   select response         Vehicle          "Awaiting orders"
await1.v01/v03   select response         Infantry         "Awaiting orders"
bombit1.aud      special                 Commando         "I got a present for you!"
cmon1.aud        random voice            Commando         "C'mon!"
girlokay.aud     command confirmation    Female civilian  "Okay"
girlyeah.aud     select response         Female civilian  "Yeah?"
gotit1.aud       command confirmation    Commando         "You got it!"
guyokay1.aud     command confirmation    Male civilian    "Okay."
guyyeah1.aud     select response         Male civilian    "Yeah?"
keepem1.aud      kill confirmation       Commando         "Keep 'em coming!"
laugh1.aud       kill confirmation       Commando         "Hahaha!"
lefty1.aud       kill confirmation       Commando         "That was left-handed!"
mcomnd1.aud      select response         Dr. Moebius      "Commander?"
mcourse1.aud     command confirmation    Dr. Moebius      "Of course"
mhello1.aud      select response         Dr. Moebius      "Hello?"
mhmmm1.aud       command confirmation    Dr. Moebius      "Mhmm"
movout1.v00/v02  command confirmation    Vehicle          "Moving out"
movout1.v01/v03  command confirmation    Infantry         "Moving out"
mplan3.aud       command confirmation    Dr. Moebius      "A wonderful plan!"
mthanks1.aud     random voice            Dr. Moebius      "Thank you!"
mtiber1.aud      random voice            Dr. Moebius      "Mind the tiberium!"
myes1.aud        select response         Dr. Moebius      "Yes?"
myesyes1.aud     command confirmation    Dr. Moebius      "Yes, yes, yes"
noprblm1.aud     command confirmation    Commando         "No problem!"
noprob.v01/v03   command confirmation    Infantry         "Not a problem"
onit1.aud        command confirmation    Commando         "I'm on it!"
overout.v01/v03  command confirmation    Infantry         "Over and out"
ramyell1.aud     death yell              Commando         "Agh!"
ready.v01/v03    select response         Infantry         "Ready and waiting"
report1.v00/v02  select response         Vehicle          "Reporting"
report1.v01/v03  select response         Infantry         "Reporting"
ritaway.v01/v03  command confirmation    Infantry         "Right away"
roger.v01/v03    command confirmation    Infantry         "Roger"
rokroll1.aud     presence announcement   Commando         "Time to rock and roll"
tuffguy1.aud     kill confirmation       Commando         "Real tough guy!"
ugotit.v01/v03   command confirmation    Infantry         "You got it"
unit1.v00/v02    select response         Vehicle          "Unit reporting"
vehic1.v00/v02   select response         Vehicle          "Vehicle reporting"
yeah1.aud        select response         Commando         "Yeah?"
yes1.aud         select response         Commando         "Yes sir?"
yessir1.v00/v02  command confirmation    Vehicle          "Yes sir!"
yessir1.v01/v03  command confirmation    Infantry         "Yes sir!"
yo1.aud          select response         Commando         "Yo!"
